Biotype,Run,Rate,IR,Biomass,BR,Both
R,I,0,0,0.58,0,0
R,I,0,0,0.54,0,0
R,I,0,0,0.41,0,0
R,I,0,0,0.5,0,0
R,I,13.125,4,0.5,1.48,2.74
R,I,13.125,2,0.64,1.57,1.78
R,I,13.125,3,0.5,1.48,2.24
R,I,13.125,4,0.72,2.55,3.27
R,I,26.25,10,0.48,5.42,7.71
R,I,26.25,10,0.48,5.42,7.71
R,I,26.25,8,0.49,3.45,5.72
R,I,26.25,10,0.47,7.39,8.69
R,I,52.5,15,0.4,21.18,18.09
R,I,52.5,15,0.35,31.03,23.02
R,I,52.5,18,0.36,29.06,23.53
R,I,52.5,15,0.38,25.12,20.06
R,I,105,20,0.32,36.95,28.47
R,I,105,25,0.34,33,29
R,I,105,25,0.28,44.83,34.91
R,I,105,20,0.31,38.92,29.46
R,I,210,30,0.35,31.03,30.52
R,I,210,35,0.3,40.89,37.94
R,I,210,20,0.28,44.83,32.41
R,I,210,25,0.32,36.95,30.97
R,I,420,40,0.21,58.62,49.31
R,I,420,50,0.22,56.65,53.33
R,I,420,45,0.24,52.71,48.85
R,I,420,40,0.21,58.62,49.31
R,I,840,75,0.1,80.3,77.65
R,I,840,80,0.08,84.24,82.12
R,I,840,60,0.08,84.24,72.12
R,I,840,70,0.06,88.18,79.09
R,I,1680,99,0.02,96.06,97.53
R,I,1680,85,0.04,92.12,88.56
R,I,1680,90,0.05,90.15,90.07
R,I,1680,90,0.01,98.03,94.01
R,II,0,0,0.56,0,0
R,II,0,0,0.41,0,0
R,II,0,0,0.66,0,0
R,II,0,0,0.73,0,0
R,II,13.125,2,0.55,6.78,4.39
R,II,13.125,4,0.575,2.54,3.27
R,II,13.125,3,0.58,1.69,2.35
R,II,13.125,3,0.56,5.08,4.04
R,II,26.25,10,0.49,16.95,13.47
R,II,26.25,8,0.5,15.25,11.63
R,II,26.25,10,0.51,13.56,11.78
R,II,26.25,8,0.54,8.47,8.24
R,II,52.5,15,0.44,25.42,20.21
R,II,52.5,15,0.45,23.73,19.36
R,II,52.5,17,0.42,28.81,22.91
R,II,52.5,18,0.47,20.34,19.17
R,II,105,30,0.4,32.2,31.1
R,II,105,25,0.24,59.32,42.16
R,II,105,25,0.41,30.51,27.75
R,II,105,25,0.3,49.15,37.08
R,II,210,35,0.28,52.54,43.77
R,II,210,30,0.36,38.98,34.49
R,II,210,25,0.35,40.68,32.84
R,II,210,35,0.345,41.53,38.26
R,II,420,50,0.26,55.93,52.97
R,II,420,60,0.16,72.88,66.44
R,II,420,55,0.31,47.46,51.23
R,II,420,40,0.38,35.59,37.8
R,II,840,70,0.17,71.19,70.59
R,II,840,85,0.16,72.88,78.94
R,II,840,90,0.14,76.27,83.14
R,II,840,99,0.1,83.05,91.03
R,II,1680,99,0.08,86.44,92.72
R,II,1680,99,0.08,86.44,92.72
R,II,1680,99,0.05,91.53,95.26
R,II,1680,99,0.08,86.44,92.72
S,I,0,0,0.59,0,0
S,I,0,0,0.95,0,0
S,I,0,0,0.4,0,0
S,I,0,0,0.39,0,0
S,I,13.125,40,0.27,53.65,46.82
S,I,13.125,35,0.26,55.36,45.18
S,I,13.125,40,0.2,65.67,52.83
S,I,13.125,40,0.18,69.1,54.55
S,I,26.25,90,0.12,79.4,84.7
S,I,26.25,85,0.15,74.25,79.62
S,I,26.25,95,0.12,79.4,87.2
S,I,26.25,85,0.14,75.97,80.48
S,I,52.5,99,0.01,98.28,98.64
S,I,52.5,99,0.01,98.28,98.64
S,I,52.5,99,0.01,98.28,98.64
S,I,52.5,99,0.01,98.28,98.64
S,I,105,99,0.01,98.28,98.64
S,I,105,99,0.01,98.28,98.64
S,I,105,99,0.01,98.28,98.64
S,I,105,99,0.01,98.28,98.64
S,I,210,99,0.01,98.28,98.64
S,I,210,99,0.01,98.28,98.64
S,I,210,99,0.01,98.28,98.64
S,I,210,99,0.01,98.28,98.64
S,I,420,99,0.01,98.28,98.64
S,I,420,99,0.01,98.28,98.64
S,I,420,99,0.01,98.28,98.64
S,I,420,99,0.01,98.28,98.64
