Population,Pedigree,Run,Rate,Number,Survival,Biomass
R,R,1,105,1,Low,0.32
R,R,1,105,2,Low,0.34
R,R,1,105,3,Low,0.28
R,R,1,105,4,Low,0.31
R,R,1,105,5,Low,0.4
R,R,1,105,6,Low,0.24
R,R,1,105,7,Low,0.41
R,R,1,105,8,Low,0.3
R,R,2,105,1,Low,0.15
R,R,2,105,2,Low,0.16
R,R,2,105,3,Low,0.25
R,R,2,105,4,Low,0.2
R,R,2,105,5,Low,0.21
R,R,2,105,6,Low,0.2
R,R,2,105,7,Low,0.14
R,R,2,105,8,Low,0.33
R,R,2,105,9,Low,0.39
R,R,2,105,10,Low,0.34
R,R,2,105,11,Low,0.44
R,R,2,105,12,Low,0.21
R,R,2,105,13,Low,0.38
R,R,2,105,14,Low,0.36
R,R,2,105,15,Low,0.31
R,R,2,105,16,Low,0.29
R,R,2,105,17,Low,0.25
S,S,1,105,1,Died,0.01
S,S,1,105,2,Died,0.01
S,S,1,105,3,Died,0.01
S,S,1,105,4,Died,0.01
S,S,1,105,5,Died,0.06
S,S,1,105,6,Died,0.05
S,S,1,105,7,Died,0.04
S,S,1,105,8,Died,0.09
S,S,2,105,1,Died,0
S,S,2,105,2,Died,0
S,S,2,105,3,Died,0.01
S,S,2,105,4,Died,0.04
S,S,2,105,5,Died,0.01
S,S,2,105,6,Died,0.01
S,S,2,105,7,Died,0
S,S,2,105,8,Died,0.02
S,S,2,105,9,Died,0.01
S,S,2,105,10,Died,0.01
S,S,2,105,11,Died,0.04
S,S,2,105,12,Died,0
S,S,2,105,13,Died,0.01
F1-8,F1,1,105,1,Died,0.06
F1-8,F1,1,105,2,Low,0.22
F1-8,F1,1,105,3,Low,0.28
F1-8,F1,1,105,4,Low,0.13
F1-8,F1,1,105,5,Low,0.15
F1-8,F1,1,105,6,Died,0.1
F1-8,F1,1,105,7,Low,0.11
F1-8,F1,1,105,8,Low,0.15
F1-8,F1,1,105,9,Low,0.16
F1-8,F1,1,105,10,Low,0.11
F1-8,F1,1,105,11,Low,0.31
F1-8,F1,1,105,12,Low,0.12
F1-8,F1,1,105,13,Low,0.11
F1-8,F1,1,105,14,Low,0.08
F1-8,F1,1,105,15,Died,0.11
F1-8,F1,1,105,16,Low,0.12
F1-8,F1,1,105,17,Low,0.35
F1-8,F1,1,105,18,Low,0.22
F1-8,F1,1,105,19,Low,0.08
F1-8,F1,1,105,20,Low,0.31
F1-8,F1,1,105,21,Low,0.3
F1-8,F1,1,105,22,Low,0.1
F1-8,F1,1,105,23,Died,0.09
F1-8,F1,1,105,24,Died,0.11
F1-8,F1,2,105,1,Died,0.06
F1-8,F1,2,105,2,Low,0.13
F1-8,F1,2,105,3,Low,0.13
F1-8,F1,2,105,4,Died,0.01
F1-8,F1,2,105,5,Low,0.15
F1-8,F1,2,105,6,Low,0.24
F1-8,F1,2,105,7,Died,0.13
F1-8,F1,2,105,8,Low,0.19
F1-8,F1,2,105,9,Low,0.2
F1-8,F1,2,105,10,Died,0.11
F1-8,F1,2,105,11,Low,0.12
F1-8,F1,2,105,12,Low,0.12
F1-8,F1,2,105,13,Died,0.04
F1-8,F1,2,105,14,Low,0.14
F1-8,F1,2,105,15,Low,0.21
F1-8,F1,2,105,16,Died,0.11
F1-8,F1,2,105,17,Died,0.11
F1-8,F1,2,105,18,Died,0.16
F1-8,F1,2,105,19,Died,0.11
F1-8,F1,2,105,20,Low,0.12
F1-8,F1,2,105,21,Died,0.09
F1-8,F1,2,105,22,Died,0.04
F1-8,F1,2,105,23,Low,0.11
F1-8,F1,2,105,24,Low,0.35
F1-9,F1,1,105,1,Medium,0.13
F1-9,F1,1,105,2,Medium,0.14
F1-9,F1,1,105,3,Medium,0.14
F1-9,F1,1,105,4,Medium,0.1
F1-9,F1,1,105,5,Medium,0.12
F1-9,F1,1,105,6,Medium,0.13
F1-9,F1,1,105,7,Low,0.26
F1-9,F1,1,105,8,Medium,0.16
F1-9,F1,1,105,9,Medium,0.11
F1-9,F1,1,105,10,High,0.09
F1-9,F1,1,105,11,Medium,0.14
F1-9,F1,1,105,12,Medium,0.14
F1-9,F1,1,105,13,Low,0.3
F1-9,F1,1,105,14,High,0.03
F1-9,F1,2,105,1,Medium,0.11
F1-9,F1,2,105,2,Medium,0.1
F1-9,F1,2,105,3,Medium,0.1
F1-9,F1,2,105,4,Low,0.17
F1-9,F1,2,105,5,High,0.05
F1-9,F1,2,105,6,Medium,0.17
F1-9,F1,2,105,7,High,0.09
F1-9,F1,2,105,8,High,0.08
F1-9,F1,2,105,9,Medium,0.15
F1-9,F1,2,105,10,Medium,0.12
F1-13,F1,1,105,1,Low,0.24
F1-13,F1,1,105,2,Low,0.31
F1-13,F1,1,105,3,Low,0.49
F1-13,F1,1,105,4,Low,0.27
F1-13,F1,1,105,5,Low,0.12
F1-13,F1,1,105,6,Low,0.42
F1-13,F1,1,105,7,Low,0.45
F1-13,F1,1,105,8,Low,0.3
F1-13,F1,1,105,9,Low,0.4
F1-13,F1,1,105,10,Low,0.33
F1-13,F1,1,105,11,Low,0.15
F1-13,F1,1,105,12,Low,0.33
F1-13,F1,1,105,13,Low,0.4
F1-13,F1,2,105,1,Died,0.06
F1-13,F1,2,105,2,Low,0.27
F1-13,F1,2,105,3,Low,0.46
F1-13,F1,2,105,4,Low,0.33
F1-13,F1,2,105,5,Low,0.24
F1-13,F1,2,105,6,Low,0.3
F1-13,F1,2,105,7,Low,0.36
F1-13,F1,2,105,8,Low,0.46
F1-13,F1,2,105,9,Low,0.3
F1-13,F1,2,105,10,Low,0.1
F1-13,F1,2,105,11,Low,0.21
F1-13,F1,2,105,12,Low,0.39
F1-13,F1,2,105,13,Low,0.27
F1-13,F1,2,105,14,Low,0.05
F1-13,F1,2,105,15,Low,0.28
F1-13,F1,2,105,16,Low,0.39
F1-13,F1,2,105,17,Low,0.33
F1-13,F1,2,105,18,Low,0.15
F1-13,F1,2,105,19,Low,0.37
F1-13,F1,2,105,20,Low,0.06
